date,G,ratio
2021-07-06,11,0.02595338983050848
2021-07-06,12,0.23292797006548174
2021-07-06,13,0.022070415133998947
2021-07-06,14,0.013893836836480229
2021-07-06,15,0.0
2021-07-06,16,0.31365313653136534
2021-07-06,17,0.06038894575230296
2021-07-06,18,-0.010948905109489052
2021-07-06,19,0.040540540540540536
2021-07-06,20,0.03179824561403509
2021-07-06,21,0.013533107781536975
2021-07-06,22,0.0
2021-07-06,23,0.011419249592169658
2021-07-06,24,0.0
2021-07-06,25,0.0
2021-07-06,26,0.010327022375215147
2021-07-06,27,0.03513174404015057
2021-07-06,28,0.010840108401084009
2021-07-06,29,0.036630036630036625
2021-07-07,0,0.012959571770671925
2021-07-07,1,0.02242901455499881
2021-07-07,2,0.052132701421800945
2021-07-07,3,0.09690309690309691
